anti1,anti2,anti3,anti4,read1,read2,read3,read4,male,momage,kidage,homecog,homeemo,canti1,chomecog,chomemo,antigen
0,0,0,0,2.8,5,6,6.1,0,27,6.9,12,11,-1.67,3.11,1.8,0
1,3,2,3,1.8,2.9,6,-9,1,26,6.1,9,11,-0.67,0.11,1.8,-0.67
1,3,3,5,1.8,2.4,3.5,4.4,0,27,6,10,12,-0.67,1.11,2.8,0
1,2,3,1,2.8,3.8,3.9,5,1,26,7,3,7,-0.67,-5.89,-2.2,-0.67
2,2,4,3,1.7,2.8,3.9,4.8,0,26,6.4,9,7,0.33,0.11,-2.2,0
2,5,5,7,3.1,5.2,6.2,6.8,0,26,6.5,9,8,0.33,0.11,-1.2,0
4,0,4,4,1.3,2.3,2.5,3.4,1,26,6.3,13,10,2.33,4.11,0.8,2.33
4,0,-9,6,2.3,4.1,-9,5.4,0,26,7.5,7,7,2.33,-1.89,-2.2,0
1,3,3,2,1.8,3.5,3.7,5.6,1,27,6.2,12,9,-0.67,3.11,-0.2,-0.67
0,2,3,2,1.7,2.1,-9,2.5,1,26,6.5,10,12,-1.67,1.11,2.8,-1.67
3,0,4,1,1.9,2.3,3,2.8,1,26,7.8,7,8,1.33,-1.89,-1.2,1.33
0,0,1,0,3.3,4.4,5.9,5.8,0,26,8,10,10,-1.67,1.11,0.8,0
4,2,2,3,3.1,4.1,4.7,5.1,1,26,7.4,8,10,2.33,-0.89,0.8,2.33
1,0,1,0,2.7,4.9,5,-9,0,27,7.8,8,11,-0.67,-0.89,1.8,0
1,1,1,-9,2.1,4,4.4,-9,0,27,7.1,13,6,-0.67,4.11,-3.2,0
6,5,3,4,1.9,3,4.1,4.4,1,27,6.3,12,11,4.33,3.11,1.8,4.33
2,5,1,2,2.2,3.9,5.7,6,0,26,7.6,7,11,0.33,-1.89,1.8,0
0,0,2,0,2.5,4,4.4,5.5,0,26,6.3,8,7,-1.67,-0.89,-2.2,0
0,3,4,1,2.4,3.9,5.1,5.6,1,26,6.9,8,12,-1.67,-0.89,2.8,-1.67
0,1,1,2,2,4,-9,5.7,0,25,6.4,8,9,-1.67,-0.89,-0.2,0
1,0,0,0,2.1,-9,4.5,5.3,0,25,6.2,10,11,-0.67,1.11,1.8,0
6,6,-9,-9,1.7,2.1,-9,-9,1,25,8,8,9,4.33,-0.89,-0.2,4.33
0,0,2,2,2,4.3,5,5.7,0,25,6.8,13,11,-1.67,4.11,1.8,0
0,2,0,1,2.2,3.2,4.6,5.6,0,25,6.9,6,8,-1.67,-2.89,-1.2,0
0,-9,-9,-9,4.4,-9,-9,-9,0,25,7.5,11,7,-1.67,2.11,-2.2,0
1,0,3,-9,2,2.6,3.4,-9,0,25,8,5,9,-0.67,-3.89,-0.2,0
1,2,1,2,2.1,3.2,4.9,5.9,0,25,6.5,11,11,-0.67,2.11,1.8,0
0,1,1,3,3.2,4,4.4,5.9,0,25,8,9,11,-1.67,0.11,1.8,0
0,0,0,0,2.4,3.6,4.6,5.1,0,25,7.9,12,11,-1.67,3.11,1.8,0
4,2,1,-9,1.8,2.6,3.8,3.9,1,26,6.8,4,9,2.33,-4.89,-0.2,2.33
3,-9,2,-9,2.9,4,5.1,-9,1,26,7.8,8,9,1.33,-0.89,-0.2,1.33
5,2,1,7,2.6,3.5,4.1,6.2,1,25,7.2,8,7,3.33,-0.89,-2.2,3.33
0,0,3,0,3.5,4.3,4.8,5.6,0,25,8,5,6,-1.67,-3.89,-3.2,0
1,3,2,1,4.6,6,6.1,6.1,0,26,7.6,9,4,-0.67,0.11,-5.2,0
0,0,0,0,4.7,6,7,8,0,25,7.9,12,11,-1.67,3.11,1.8,0
6,6,3,4,2.5,-9,6.9,5.1,0,25,7.9,10,6,4.33,1.11,-3.2,0
2,1,0,1,3.1,4.1,5.8,7.4,0,25,7.7,9,6,0.33,0.11,-3.2,0
1,0,0,-9,4,5.5,8.1,-9,0,26,7.8,7,8,-0.67,-1.89,-1.2,0
0,2,2,0,2.1,3,4,4,0,25,7,8,9,-1.67,-0.89,-0.2,0
1,1,1,2,3.6,3.8,5.3,5.9,1,25,7.5,5,7,-0.67,-3.89,-2.2,-0.67
1,2,1,2,4,6.1,7.5,6.6,1,25,7.3,11,12,-0.67,2.11,2.8,-0.67
3,1,1,0,3.2,3.6,4.2,4.4,1,26,7.7,11,12,1.33,2.11,2.8,1.33
5,-9,0,0,2.4,-9,3.3,-9,1,25,7.6,7,12,3.33,-1.89,2.8,3.33
2,-9,0,2,2.8,5.1,7.7,6.7,0,26,7.8,4,10,0.33,-4.89,0.8,0
2,3,2,2,5.6,4.6,6,6.3,1,25,6.3,10,7,0.33,1.11,-2.2,0.33
1,1,-9,-9,1.8,3,-9,-9,1,24,6.8,8,8,-0.67,-0.89,-1.2,-0.67
1,4,1,-9,1.8,3.8,4.7,-9,0,25,6.3,8,8,-0.67,-0.89,-1.2,0
0,0,2,5,2.3,4.4,5.6,7.2,0,24,6.8,9,11,-1.67,0.11,1.8,0
1,2,2,4,2.2,3.7,4.8,5.4,1,25,7.1,9,7,-0.67,0.11,-2.2,-0.67
1,0,0,3,3.5,4.2,4.9,4.4,0,24,7.8,10,7,-0.67,1.11,-2.2,0
2,0,1,0,2.3,4.2,5.3,5.4,1,25,6.6,12,11,0.33,3.11,1.8,0.33
1,3,0,2,3.8,5.5,7.8,-9,1,24,6.6,10,11,-0.67,1.11,1.8,-0.67
4,3,5,4,2.1,3,3.7,4.8,1,24,6.5,8,10,2.33,-0.89,0.8,2.33
0,0,0,0,2.7,4.7,5.9,6.9,1,24,7.2,8,12,-1.67,-0.89,2.8,-1.67
1,0,1,2,1.8,3.1,3.7,4.3,0,24,6.3,6,7,-0.67,-2.89,-2.2,0
4,2,-9,-9,3.9,5.1,-9,-9,0,24,7.4,5,8,2.33,-3.89,-1.2,0
3,0,3,0,1.8,3.5,4.5,5.9,1,25,6,13,8,1.33,4.11,-1.2,1.33
4,4,3,2,2.3,2.7,4.1,4.4,0,24,8,10,3,2.33,1.11,-6.2,0
4,8,6,-9,1.8,2.6,3.3,-9,1,25,6.7,2,0,2.33,-6.89,-9.2,2.33
5,1,0,-9,2.3,6,7.8,-9,0,24,6.3,11,8,3.33,2.11,-1.2,0
0,1,0,1,2.1,3.1,3.9,4.7,0,25,6.9,12,9,-1.67,3.11,-0.2,0
2,7,-9,-9,1.8,-9,2.4,-9,1,24,6.2,7,9,0.33,-1.89,-0.2,0.33
1,4,2,4,3.8,4.8,-9,7,1,24,7.4,6,5,-0.67,-2.89,-4.2,-0.67
0,1,3,3,3.5,4.8,5.4,6.2,1,25,7.8,11,11,-1.67,2.11,1.8,-1.67
0,1,1,0,1.5,2,-9,2.6,1,24,6.6,12,9,-1.67,3.11,-0.2,-1.67
5,2,-9,1,4.1,4.7,-9,6.4,1,25,7.3,11,9,3.33,2.11,-0.2,3.33
0,1,0,0,3.6,5.4,6.2,7.7,0,25,6.8,11,11,-1.67,2.11,1.8,0
0,0,3,2,3.7,5.2,5.7,7.8,1,25,6.4,8,9,-1.67,-0.89,-0.2,-1.67
0,4,5,3,4.3,5,5.3,6.7,0,24,8,5,11,-1.67,-3.89,1.8,0
2,3,4,3,4.7,5.3,6.1,7,1,24,7.6,7,11,0.33,-1.89,1.8,0.33
2,1,-9,1,1.8,2.9,-9,4.2,0,24,6.5,7,5,0.33,-1.89,-4.2,0
0,4,10,7,1.8,4.5,5.6,5.8,1,24,6.2,5,5,-1.67,-3.89,-4.2,-1.67
2,2,3,2,2.1,3.5,4.5,5.1,1,23,6.8,10,4,0.33,1.11,-5.2,0.33
3,5,5,3,2.4,3.7,4.7,5.5,1,23,7.6,8,7,1.33,-0.89,-2.2,1.33
1,1,4,3,2.6,5.2,-9,-9,0,23,6.8,6,6,-0.67,-2.89,-3.2,0
3,2,-9,-9,2.1,2.3,-9,-9,0,23,6.4,8,6,1.33,-0.89,-3.2,0
1,6,2,3,2.5,4.7,5.3,5.5,1,24,6.8,9,7,-0.67,0.11,-2.2,-0.67
1,0,2,0,1.9,5.5,5.5,5.5,0,24,6.1,9,7,-0.67,0.11,-2.2,0
1,1,2,1,2.1,2.5,3.1,3.4,0,23,8,4,3,-0.67,-4.89,-6.2,0
2,1,4,-9,2.3,3.3,3.3,-9,0,24,7.5,9,11,0.33,0.11,1.8,0
0,0,0,0,1.8,2.5,4,4.1,1,23,6,12,10,-1.67,3.11,0.8,-1.67
1,2,1,1,3,3.8,4.5,5.5,1,24,6.6,3,5,-0.67,-5.89,-4.2,-0.67
0,0,0,0,2.5,2.6,3.7,3.5,0,24,7.3,6,7,-1.67,-2.89,-2.2,0
2,2,0,-9,1.7,2.2,-9,-9,1,24,6.1,6,5,0.33,-2.89,-4.2,0.33
7,5,5,4,3.2,5.5,5.6,4.9,1,23,7.4,10,3,5.33,1.11,-6.2,5.33
0,6,3,3,1.9,2.8,3.3,3.6,0,23,6.4,4,6,-1.67,-4.89,-3.2,0
1,5,2,2,1.8,4.8,6.5,6.8,1,24,6.4,12,10,-0.67,3.11,0.8,-0.67
4,3,4,4,2.4,3.8,4.7,5.2,1,23,6.8,7,9,2.33,-1.89,-0.2,2.33
3,1,0,-9,1.8,4.1,5.3,7.9,1,24,7.3,10,11,1.33,1.11,1.8,1.33
4,4,8,-9,2.9,2.9,4.5,-9,1,23,6.7,12,10,2.33,3.11,0.8,2.33
3,9,4,7,2.8,3.8,4.3,5,0,23,7.4,6,7,1.33,-2.89,-2.2,0
0,3,-9,-9,1.7,4.2,-9,-9,1,23,6,6,6,-1.67,-2.89,-3.2,-1.67
1,0,2,4,3.5,4.2,5.9,6.3,1,24,6.8,5,7,-0.67,-3.89,-2.2,-0.67
1,2,3,2,1.7,2.6,3.1,3.5,1,24,6,7,9,-0.67,-1.89,-0.2,-0.67
0,0,1,0,1.8,2.7,3.5,3.7,0,22,6.3,6,7,-1.67,-2.89,-2.2,0
0,0,0,0,3.7,5.9,6.1,8.3,1,22,7.3,11,10,-1.67,2.11,0.8,-1.67
2,2,4,5,3.1,-9,5.5,6.2,1,22,6.8,11,7,0.33,2.11,-2.2,0.33
3,1,2,3,3.5,4.5,4.8,-9,0,22,7.9,2,5,1.33,-6.89,-4.2,0
5,2,1,2,1.6,2.2,-9,2.7,0,22,6.5,8,12,3.33,-0.89,2.8,0
0,1,1,1,2,3.3,4,4.7,0,23,6,11,9,-1.67,2.11,-0.2,0
2,1,0,2,2,2.3,3.9,4.5,1,23,6.6,7,10,0.33,-1.89,0.8,0.33
3,1,-9,0,2,3,-9,5.8,1,22,6.7,6,3,1.33,-2.89,-6.2,1.33
0,0,2,0,2,3.6,4.6,5.5,0,22,6.2,12,10,-1.67,3.11,0.8,0
6,2,7,3,1.8,2.5,2.9,3.5,0,21,6.5,9,7,4.33,0.11,-2.2,0
4,2,0,0,4.8,5.3,6.4,-9,0,22,7.7,9,7,2.33,0.11,-2.2,0
2,6,-9,5,2,2.6,-9,3.9,1,21,7,8,7,0.33,-0.89,-2.2,0.33
6,2,0,1,2,4.8,-9,6.3,0,22,6.1,7,4,4.33,-1.89,-5.2,0
2,3,6,5,4.5,5.8,7.6,8,0,28,8,9,11,0.33,0.11,1.8,0
4,-9,2,0,2,3.5,4.3,-9,1,29,7.7,4,8,2.33,-4.89,-1.2,2.33
2,3,2,0,3.5,5,5.5,7.7,0,28,6.7,9,12,0.33,0.11,2.8,0
5,1,6,4,1.8,3.6,4.3,5.1,1,28,7.9,9,9,3.33,0.11,-0.2,3.33
9,8,10,9,1.8,3.4,-9,4.9,1,28,6.4,9,5,7.33,0.11,-4.2,7.33
3,0,0,0,2.4,5.4,6.5,7.7,0,29,6.8,12,8,1.33,3.11,-1.2,0
3,4,1,1,4.2,6.2,5.8,6.1,1,28,7.9,11,12,1.33,2.11,2.8,1.33
2,2,0,0,3.2,4.7,6.4,7.4,0,28,6.8,11,12,0.33,2.11,2.8,0
1,-9,0,0,2.1,-9,4.2,-9,1,28,7.6,10,9,-0.67,1.11,-0.2,-0.67
4,3,3,5,3.3,4.9,6.1,6.8,1,28,7.6,11,13,2.33,2.11,3.8,2.33
0,0,-9,0,2.7,4.9,5.3,6.6,0,28,7.2,9,8,-1.67,0.11,-1.2,0
0,0,0,0,3.5,5.9,7.8,7.1,0,28,7.2,11,9,-1.67,2.11,-0.2,0
2,0,3,4,2.9,4.5,4.8,6.4,0,27,6.7,13,10,0.33,4.11,0.8,0
1,1,0,0,2.2,4.7,3.8,5.7,0,27,7.2,10,12,-0.67,1.11,2.8,0
1,0,3,0,2.7,3.9,4.9,5.5,0,28,7.8,10,12,-0.67,1.11,2.8,0
3,1,1,-9,4,-9,-9,-9,1,27,7.3,5,8,1.33,-3.89,-1.2,1.33
0,2,0,0,2.2,3.8,-9,5.4,1,28,7.6,2,6,-1.67,-6.89,-3.2,-1.67
0,0,0,0,1.8,3.3,5,6.2,0,27,6.8,7,9,-1.67,-1.89,-0.2,0
3,4,3,3,1.6,2.7,4,5.7,1,27,6.1,10,10,1.33,1.11,0.8,1.33
2,1,2,0,2.2,6,5,5.6,1,28,7.3,8,12,0.33,-0.89,2.8,0.33
0,-9,-9,1,2.3,-9,-9,-9,0,28,7.2,11,10,-1.67,2.11,0.8,0
2,4,1,1,2.3,3.4,4.5,4.8,0,27,6.9,7,10,0.33,-1.89,0.8,0
1,0,-9,-9,4.3,5.2,-9,-9,1,26,8,6,10,-0.67,-2.89,0.8,-0.67
0,3,2,5,2.1,4.1,4.9,5.8,1,26,7.1,14,13,-1.67,5.11,3.8,-1.67
0,-9,2,1,1.8,-9,-9,5.5,1,26,6.1,11,12,-1.67,2.11,2.8,-1.67
2,0,1,0,2.3,2.6,3.1,4,1,26,6.7,13,11,0.33,4.11,1.8,0.33
1,0,0,0,3.8,6,6,6.9,0,26,7,12,11,-0.67,3.11,1.8,0
0,0,1,2,1.8,2.2,5.5,-9,1,26,6.8,10,7,-1.67,1.11,-2.2,-1.67
0,0,0,4,3.1,4.3,-9,5.3,0,26,7.6,6,11,-1.67,-2.89,1.8,0
3,3,2,6,2.3,2.5,2.9,3.6,1,26,7.9,8,6,1.33,-0.89,-3.2,1.33
2,-9,-9,-9,1.7,-9,-9,-9,1,26,6,6,6,0.33,-2.89,-3.2,0.33
0,1,-9,-9,2.4,4.1,-9,-9,0,26,6.7,6,11,-1.67,-2.89,1.8,0
2,1,1,1,2.4,7.4,5.9,-9,1,27,6.4,9,12,0.33,0.11,2.8,0.33
5,4,-9,5,2.7,6,-9,-9,1,25,6.7,9,6,3.33,0.11,-3.2,3.33
1,-9,2,0,3.4,-9,5.2,7.6,1,25,7.4,10,8,-0.67,1.11,-1.2,-0.67
0,0,0,0,2,3.6,3.5,5.1,0,25,6,9,12,-1.67,0.11,2.8,0
2,5,6,7,2,2.9,3.8,4.4,1,25,7.1,6,8,0.33,-2.89,-1.2,0.33
1,-9,0,0,2.2,-9,-9,6.4,0,25,6.5,7,11,-0.67,-1.89,1.8,0
3,2,4,4,1.3,4.4,2.4,-9,1,25,6.6,11,5,1.33,2.11,-4.2,1.33
6,5,4,5,2.1,4.1,4.2,4.3,1,25,7.6,9,9,4.33,0.11,-0.2,4.33
2,1,0,3,1.5,2.6,5.3,5.6,1,25,6.2,9,10,0.33,0.11,0.8,0.33
3,3,4,6,1.2,2,3.1,3.4,1,26,7.1,3,9,1.33,-5.89,-0.2,1.33
4,7,-9,-9,0.1,2.3,-9,-9,1,25,6.3,2,9,2.33,-6.89,-0.2,2.33
2,2,3,2,1.8,4.1,5,5.1,1,25,6.2,5,10,0.33,-3.89,0.8,0.33
1,1,4,5,1.8,4.9,5.3,7.8,1,25,6.5,10,12,-0.67,1.11,2.8,-0.67
1,1,0,0,1.4,3.3,-9,6,0,26,6,8,6,-0.67,-0.89,-3.2,0
2,2,1,3,2.4,3.2,4.3,5.7,0,26,7.9,9,4,0.33,0.11,-5.2,0
0,2,-9,-9,1.9,3.7,-9,-9,0,25,6.2,12,12,-1.67,3.11,2.8,0
1,1,2,6,1.9,3.4,3.5,5,0,25,6.4,4,5,-0.67,-4.89,-4.2,0
1,0,-9,0,2.8,5,-9,7.5,0,24,7.7,10,8,-0.67,1.11,-1.2,0
5,2,0,-9,1.7,2.9,4.9,6,1,24,6.2,8,9,3.33,-0.89,-0.2,3.33
4,3,3,4,1.6,3.4,4.5,5.7,1,24,7,9,11,2.33,0.11,1.8,2.33
3,1,0,7,2.4,4.3,5.5,5.5,0,24,7.2,8,5,1.33,-0.89,-4.2,0
3,0,0,5,1.8,3.8,5.1,6.5,0,24,6.3,9,9,1.33,0.11,-0.2,0
1,0,0,0,2,2.3,6.6,5.8,1,25,6.9,12,10,-0.67,3.11,0.8,-0.67
0,0,0,1,2,4,4.7,6,0,25,6.8,11,11,-1.67,2.11,1.8,0
1,1,1,0,1.5,3.8,4.6,6.4,1,25,6.2,10,12,-0.67,1.11,2.8,-0.67
2,1,-9,3,1.8,3.1,-9,4.8,0,25,6.4,6,10,0.33,-2.89,0.8,0
3,2,2,2,2.4,3.9,4.4,4.8,0,24,7.7,8,3,1.33,-0.89,-6.2,0
0,1,4,2,1.8,3.9,5.4,5.8,0,23,6.2,9,10,-1.67,0.11,0.8,0
1,2,1,2,2,3.6,5.4,6.1,0,23,6.3,6,13,-0.67,-2.89,3.8,0
1,-9,0,2,2.5,4.3,-9,7.9,0,24,7.1,9,13,-0.67,0.11,3.8,0
0,1,-9,2,1.7,3.3,-9,4.6,0,23,6,7,10,-1.67,-1.89,0.8,0
0,2,1,1,3.1,4.8,4.8,6.5,1,23,7.7,8,9,-1.67,-0.89,-0.2,-1.67
1,2,1,3,2.6,4,4.8,5.1,0,23,6.5,9,12,-0.67,0.11,2.8,0
1,-9,0,2,2.7,4.5,-9,7,1,24,7.6,9,11,-0.67,0.11,1.8,-0.67
1,-9,0,3,2.3,-9,-9,6,0,22,6.6,4,9,-0.67,-4.89,-0.2,0
2,2,0,1,1.9,3.1,4.1,5.1,0,22,6.4,10,10,0.33,1.11,0.8,0
0,-9,-9,-9,0.4,-9,-9,-9,0,23,6.7,4,8,-1.67,-4.89,-1.2,0
3,2,1,1,2.4,3.6,4.2,4.7,0,23,7.1,6,10,1.33,-2.89,0.8,0
4,3,3,2,1.8,4.1,5.3,5.5,1,22,6.4,7,7,2.33,-1.89,-2.2,2.33
3,1,7,4,1.4,2.2,4,5.2,1,22,6.3,6,9,1.33,-2.89,-0.2,1.33
2,5,1,5,1.8,3.4,5.5,6.4,1,23,6.2,7,11,0.33,-1.89,1.8,0.33
5,6,3,4,0.7,2.8,3.7,4.1,0,22,6,5,7,3.33,-3.89,-2.2,0
1,1,0,1,2.3,4.1,5.7,6.7,1,28,7.3,10,9,-0.67,1.11,-0.2,-0.67
1,0,1,3,2.6,4.2,5.3,6.9,1,28,6.5,9,12,-0.67,0.11,2.8,-0.67
2,3,5,4,7.2,5.1,6.5,7.6,1,28,7.8,7,10,0.33,-1.89,0.8,0.33
2,1,0,0,2.2,4.3,6,6.3,1,28,6.2,9,11,0.33,0.11,1.8,0.33
0,1,2,2,2.3,3.2,4.5,5.3,0,28,7,10,10,-1.67,1.11,0.8,0
2,5,2,5,1.8,5,-9,-9,1,28,6,8,10,0.33,-0.89,0.8,0.33
0,0,1,1,2.6,4.8,6.1,7.4,1,29,6.8,10,10,-1.67,1.11,0.8,-1.67
1,1,0,1,1.7,4.1,5.4,7.3,1,29,6,9,10,-0.67,0.11,0.8,-0.67
0,2,5,3,4.3,5.3,8.4,7.9,1,28,7.3,9,7,-1.67,0.11,-2.2,-1.67
1,1,2,1,1.8,3.9,5.6,6.5,1,29,6,10,11,-0.67,1.11,1.8,-0.67
0,1,1,2,1.8,4.3,5.1,7.2,1,28,6,12,13,-1.67,3.11,3.8,-1.67
1,0,0,0,1.7,3.1,5.4,6.1,1,28,6.5,9,11,-0.67,0.11,1.8,-0.67
3,1,0,0,2.7,4.3,5.5,-9,1,28,7.1,12,10,1.33,3.11,0.8,1.33
5,3,-9,-9,2.8,4.2,-9,-9,1,28,7.5,10,12,3.33,1.11,2.8,3.33
2,3,1,0,2.2,2.9,3.4,5.1,1,29,7.6,9,12,0.33,0.11,2.8,0.33
3,1,1,0,3,5.6,5.1,6.5,0,28,7,12,12,1.33,3.11,2.8,0
1,1,1,2,2,4.1,7,8,0,28,6.2,10,9,-0.67,1.11,-0.2,0
1,3,1,5,2.1,4.6,5.8,6.8,1,29,7.8,13,12,-0.67,4.11,2.8,-0.67
0,0,0,1,2.7,4.9,5.6,6.7,0,28,7,13,12,-1.67,4.11,2.8,0
4,2,2,2,3.8,4.7,6.3,6.7,1,29,7.5,10,11,2.33,1.11,1.8,2.33
0,1,1,1,3.5,4,6.1,6.2,0,28,6.6,12,6,-1.67,3.11,-3.2,0
0,0,-9,-9,2.8,5,-9,-9,0,28,7.6,11,11,-1.67,2.11,1.8,0
4,1,-9,-9,1.8,5,-9,-9,1,29,6.3,8,5,2.33,-0.89,-4.2,2.33
4,8,-9,-9,1.6,2.1,-9,-9,1,28,6.4,9,11,2.33,0.11,1.8,2.33
1,3,-9,-9,3.7,5.5,-9,-9,1,28,6.5,8,8,-0.67,-0.89,-1.2,-0.67
4,8,-9,-9,2,3.4,-9,-9,1,28,7.8,8,6,2.33,-0.89,-3.2,2.33
0,7,-9,-9,2.9,5.3,-9,-9,1,28,7.8,5,12,-1.67,-3.89,2.8,-1.67
0,0,-9,-9,3.2,5,-9,-9,0,29,7.3,11,10,-1.67,2.11,0.8,0
0,1,0,0,3.5,4.1,5.7,-9,0,28,7.8,11,12,-1.67,2.11,2.8,0
0,0,1,2,2.7,4,5.9,6.5,1,28,6.9,12,9,-1.67,3.11,-0.2,-1.67
1,1,-9,-9,1.8,3.9,-9,-9,0,29,6.3,10,8,-0.67,1.11,-1.2,0
4,1,-9,-9,3.4,4.4,-9,-9,1,29,7.9,9,10,2.33,0.11,0.8,2.33
1,0,0,0,1.8,3.9,4.7,5.8,0,27,6.2,6,8,-0.67,-2.89,-1.2,0
0,-9,0,0,3.4,4.6,5.1,-9,1,27,7.8,12,9,-1.67,3.11,-0.2,-1.67
0,0,0,0,3.5,4.8,5.9,6.7,0,27,6.8,8,9,-1.67,-0.89,-0.2,0
0,1,1,3,1.7,4.2,4.8,5.6,0,27,6.2,9,11,-1.67,0.11,1.8,0
2,0,0,2,1.8,3.5,4.8,-9,1,27,6.8,8,10,0.33,-0.89,0.8,0.33
2,1,2,1,2.3,4.9,5.9,6,0,27,6.7,13,7,0.33,4.11,-2.2,0
0,1,0,0,1.8,4.5,5.6,6.4,1,27,6.3,9,12,-1.67,0.11,2.8,-1.67
3,5,0,0,3.8,4.8,5.4,7.1,1,27,7.8,13,9,1.33,4.11,-0.2,1.33
3,2,0,2,3.2,3.6,4.7,5.9,1,27,7.8,10,12,1.33,1.11,2.8,1.33
0,6,-9,-9,2.3,-9,-9,-9,1,27,7.6,13,12,-1.67,4.11,2.8,-1.67
2,4,4,4,1.4,3.6,5.2,6,0,27,6.1,4,9,0.33,-4.89,-0.2,0
1,-9,-9,-9,2.8,-9,-9,-9,0,27,7.7,9,7,-0.67,0.11,-2.2,0
1,1,3,5,3,4.1,5,5.5,0,28,6.8,9,11,-0.67,0.11,1.8,0
0,0,-9,0,3.2,5.2,6.6,7.9,0,27,7,9,10,-1.67,0.11,0.8,0
0,1,0,1,4.3,5.6,5.5,5.8,0,27,7.3,10,11,-1.67,1.11,1.8,0
3,6,7,9,1.8,2.5,3.6,4.7,1,27,6.8,11,11,1.33,2.11,1.8,1.33
2,1,1,2,4.4,5.4,5.8,6.3,0,27,7.6,12,12,0.33,3.11,2.8,0
2,6,6,6,1.7,4,4.9,5.2,1,27,6.7,13,8,0.33,4.11,-1.2,0.33
0,0,1,1,2.4,5,5.7,6.9,1,27,6.8,12,10,-1.67,3.11,0.8,-1.67
1,0,0,-9,2,5.3,4.7,-9,0,28,6.2,11,12,-0.67,2.11,2.8,0
3,1,-9,-9,2.9,4.8,-9,-9,1,28,6.8,10,12,1.33,1.11,2.8,1.33
1,-9,-9,-9,2.1,-9,-9,-9,0,28,6.8,6,10,-0.67,-2.89,0.8,0
